name,type,value,date
上证指数,中国,127.61,1990
上证指数,中国,292.75,1991
上证指数,中国,780.39,1992
上证指数,中国,833.80,1993
上证指数,中国,647.87,1994
上证指数,中国,555.28,1995
上证指数,中国,917.02,1996
上证指数,中国,1194.09,1997
上证指数,中国,1146.70,1998
上证指数,中国,1336.58,1999
上证指数,中国,2073.48,2000
上证指数,中国,1645.97,2001
上证指数,中国,1357.65,2002
上证指数,中国,1497.04,2003
上证指数,中国,1266.50,2004
上证指数,中国,1161.06,2005
上证指数,中国,2675.47,2006
上证指数,中国,5261.56,2007
上证指数,中国,1820.81,2008
上证指数,中国,3277.14,2009
上证指数,中国,2808.08,2010
上证指数,中国,2199.42,2011
上证指数,中国,2269.13,2012
上证指数,中国,2115.98,2013
上证指数,中国,3234.68,2014
上证指数,中国,3539.18,2015
上证指数,中国,3103.64,2016
上证指数,中国,3307.17,2017
上证指数,中国,2873.59,2018-07-28
创业板指,中国,1137.66,2010
创业板指,中国,729.50,2011
创业板指,中国,713.86,2012
创业板指,中国,1304.44,2013
创业板指,中国,1471.76,2014
创业板指,中国,2714.05,2015
创业板指,中国,1962.06,2016
创业板指,中国,1752.65,2017
创业板指,中国,1594.57,2018-07-28
